olgnname,count,mean.control.log.signal,control.sd.log.signal,sample
UniRef90_Q9W7Y7_oligopeptide_4,26,-3.42201,0.739653865,2
UniRef90_P52442_oligopeptide_10,66,-3.041553,1.040374871,2
UniRef90_P27312_oligopeptide_34,10,-3.799544,0.504384061,2
UniRef90_Q9IMP3_oligopeptide_12,49,-3.154759,0.816041844,2
UniRef90_P36849_oligopeptide_25,13,-3.639787,0.334823873,2
UniRef90_Q5WPU5_oligopeptide_9,15,-3.677429,0.919254784,2
UniRef90_P16602_oligopeptide_32,15,-3.670304,0.831599697,2
UniRef90_P36328_oligopeptide_32,13,-3.735178,0.862875267,2
UniRef90_P07210_oligopeptide_8,18,-3.615343,1.274482763,2
UniRef90_Q8QZ73_oligopeptide_84,21,-3.504438,0.658978244,2
UniRef90_P06724_oligopeptide_9,3,-3.949759,0.192790856,2
UniRef90_Q9QJ16_oligopeptide_42,14,-3.720944,1.17099788,2
UniRef90_P08318_oligopeptide_35,13,-3.751908,1.140684224,2
UniRef90_O89344_oligopeptide_43,28,-3.404314,0.892000551,2
UniRef90_P37800_oligopeptide_62,11,-3.801801,0.797826248,2
UniRef90_P20470_oligopeptide_14,7,-3.875136,0.245869132,2
UniRef90_P36721_oligopeptide_13,10,-3.839384,0.761114349,2
UniRef90_Q6XQI4_oligopeptide_9,11,-3.821369,1.072731894,2
UniRef90_P16750_oligopeptide_15,9,-3.847421,0.514430732,2
UniRef90_P03126_oligopeptide_1,10,-3.871863,1.318150471,2
UniRef90_Q9PWX1_oligopeptide_17,32,-3.343459,0.856802186,2
UniRef90_Q45UG0_oligopeptide_19,6,-3.920001,0.196465498,2
UniRef90_Q66474_oligopeptide_9,14,-3.66165,0.545011949,2
UniRef90_P27314_oligopeptide_30,9,-3.904094,0.991880549,2
UniRef90_P21102_oligopeptide_2,7,-3.949041,0.479927158,2
UniRef90_Q80IQ5_oligopeptide_3,3,-4.039036,0.08747136,2
UniRef90_P30929_oligopeptide_79,3,-3.963422,0.177336083,2
UniRef90_P08411_oligopeptide_42,3,-3.949759,0.192790856,2
UniRef90_Q8QZ72_oligopeptide_19,5,-3.942732,0.091050947,2
UniRef90_P08543_oligopeptide_7,18,-3.585272,0.771933653,2
UniRef90_P09612_oligopeptide_2,8,-3.965972,1.225857582,2
UniRef90_P68324_oligopeptide_14,7,-3.976762,0.626609404,2
UniRef90_P18094_oligopeptide_17,5,-3.929696,0.06972901,2
UniRef90_Q01218_oligopeptide_11,7,-3.976762,0.626609404,2
UniRef90_O12164_oligopeptide_4,6,-4.002764,0.42605126,2
UniRef90_P16713_oligopeptide_14,3,-4.007194,0.126336916,2
UniRef90_A4ZCW8_oligopeptide_5,4,-4.010842,0.045067454,2
UniRef90_B2C4J0_oligopeptide_12,5,-4.014521,0.230142365,2
UniRef90_O36634_oligopeptide_8,5,-4.014521,0.230142365,2
UniRef90_Q66790_oligopeptide_22,6,-4.018231,0.489887776,2
