olgnname,count,mean.control.log.signal,control.sd.log.signal
UniRef90_Q9W7Y7_oligopeptide_4,11,-4.667646,0.1872625
UniRef90_P52442_oligopeptide_10,13,-4.442119,0.2386859
UniRef90_P27312_oligopeptide_34,8,-4.529625,0.134972
UniRef90_Q9IMP3_oligopeptide_12,17,-4.11589,0.1787887
UniRef90_P36849_oligopeptide_25,17,-4.727852,0.2029645
UniRef90_Q5WPU5_oligopeptide_9,4,-4.512016,0.1564045
UniRef90_P16602_oligopeptide_32,5,-4.667646,0.1872625
UniRef90_P36328_oligopeptide_32,4,-4.637543,0.1698638
UniRef90_P07210_oligopeptide_8,2,-4.512016,0.1739331
UniRef90_Q8QZ73_oligopeptide_84,11,-4.459728,0.1882246
UniRef90_P06724_oligopeptide_9,21,-4.499522,0.1094609
UniRef90_Q9QJ16_oligopeptide_42,2,-4.727852,0.2029645
UniRef90_P08318_oligopeptide_35,2,-4.727852,0.2029645
UniRef90_O89344_oligopeptide_43,8,-4.184909,0.1676541
UniRef90_P37800_oligopeptide_62,4,-4.619934,0.1796729
UniRef90_P20470_oligopeptide_14,12,-4.589831,0.1603156
UniRef90_P36721_oligopeptide_13,4,-4.727852,0.2029645
UniRef90_Q6XQI4_oligopeptide_9,2,-4.697749,0.2008433
UniRef90_P16750_oligopeptide_15,7,-4.727852,0.2029645
UniRef90_P03126_oligopeptide_1,1,-4.727852,0.2029645
UniRef90_Q9PWX1_oligopeptide_17,10,-4.129963,0.1874234
UniRef90_Q45UG0_oligopeptide_19,12,-4.727852,0.2029645
UniRef90_Q66474_oligopeptide_9,10,-4.459728,0.2009963
UniRef90_P27314_oligopeptide_30,2,-4.697749,0.2008433
UniRef90_P21102_oligopeptide_2,6,-4.727852,0.2029645
UniRef90_Q80IQ5_oligopeptide_3,15,-4.434201,0.1046194
UniRef90_P30929_oligopeptide_79,20,-4.727852,0.2029645
UniRef90_P08411_oligopeptide_42,21,-4.637543,0.1828082
UniRef90_Q8QZ72_oligopeptide_19,14,-4.697749,0.2008433
UniRef90_P08543_oligopeptide_7,7,-4.559728,0.2594144
UniRef90_P09612_oligopeptide_2,1,-4.727852,0.2029645
UniRef90_P68324_oligopeptide_14,4,-4.727852,0.2029645
UniRef90_P18094_oligopeptide_17,15,-4.697749,0.2091122
UniRef90_Q01218_oligopeptide_11,4,-4.650037,0.1852294
UniRef90_O12164_oligopeptide_4,6,-4.697749,0.1947757
UniRef90_P16713_oligopeptide_14,17,-4.727852,0.2029645
UniRef90_A4ZCW8_oligopeptide_5,13,-4.727852,0.2029645
UniRef90_B2C4J0_oligopeptide_12,9,-4.727852,0.2029645
UniRef90_O36634_oligopeptide_8,9,-4.727852,0.2029645
UniRef90_Q66790_oligopeptide_22,5,-4.727852,0.2029645
UniRef90_Q306W8_oligopeptide_47,12,-4.727852,0.2029645
UniRef90_P09256_oligopeptide_5,8,-4.727852,0.2029645
UniRef90_Q9QJ12_oligopeptide_25,8,-4.727852,0.2029645
UniRef90_P21699_oligopeptide_2,19,-4.532428,0.2020705
UniRef90_P18356_oligopeptide_2,12,-4.567646,0.2029727
UniRef90_P13887_oligopeptide_78,2,-4.637543,0.2168676
UniRef90_P04602_oligopeptide_6,11,-4.727852,0.2029645
UniRef90_P16849_oligopeptide_14,11,-4.727852,0.2029645
UniRef90_Q86108_oligopeptide_31,1,-4.58014,0.2334087
UniRef90_P36290_oligopeptide_15,3,-4.619934,0.2179374
UniRef90_P09261_oligopeptide_12,3,-4.727852,0.2029645
UniRef90_Q05318_oligopeptide_29,3,-4.727852,0.2029645
UniRef90_Q8JL69_oligopeptide_20,3,-4.727852,0.2029645
